Period 1996 - 2005 - Country - Unnamed: 0_level_2,Period 1996 - 2005 - Population  (thousands) - Unnamed: 1_level_2,Period 1996 - 2005 - Water footprint of consumption of agricultural products - Internal,Period 1996 - 2005 - Water footprint of consumption of agricultural products - Internal.1,Period 1996 - 2005 - Water footprint of consumption of agricultural products - Internal.2,Period 1996 - 2005 - Water footprint of consumption of agricultural products - External,Period 1996 - 2005 - Water footprint of consumption of agricultural products - External.1,Period 1996 - 2005 - Water footprint of consumption of agricultural products - External.2,Period 1996 - 2005 - Water footprint of consumption of industrial products - Internal,Period 1996 - 2005 - Water footprint of consumption of industrial products - Internal.1,Period 1996 - 2005 - Water footprint of consumption of industrial products - External,Period 1996 - 2005 - Water footprint of consumption of industrial products - External.1,Period 1996 - 2005 - Water footprint of domestic water consumption - Unnamed: 12_level_2,Period 1996 - 2005 - Water footprint of domestic water consumption - Unnamed: 13_level_2,Period 1996 - 2005 - Total water footprint of national consumption - Internal,Period 1996 - 2005 - Total water footprint of national consumption - Internal.1,Period 1996 - 2005 - Total water footprint of national consumption - Internal.2,Period 1996 - 2005 - Total water footprint of national consumption - External,Period 1996 - 2005 - Total water footprint of national consumption - External.1,Period 1996 - 2005 - Total water footprint of national consumption - External.2,Period 1996 - 2005 - Total water footprint of national consumption - Total,Period 1996 - 2005 - Total water footprint of national consumption - Total.1,Period 1996 - 2005 - Total water footprint of national consumption - Total.2,Period 1996 - 2005 - Total water footprint of national consumption - Total.3
,,Green,Blue,Grey,Green,Blue,Grey,Blue,Grey,Blue,Grey,blue,grey,Green,Blue,Grey,Green,Blue,Grey,Green,Blue,Grey,Total
Albania,3084.9,602.2315836586439,88.86491480425744,36.48357818121366,492.65913305173393,77.4217894564738,39.46232263969841,2.5766863234521633,48.184065080852434,1.2659366916139168,16.97278906249408,14.911342344970665,134.20208110473595,602.2315836586439,106.35294347268025,218.86972436680202,492.65913305173393,78.6877261480877,56.435111702192486,1094.8907167103778,185.04066962076797,275.3048360689946,1555.2362224001404
Algeria,30767.4,634.5590207541915,88.77478580796868,9.569505932031948,700.6001182035875,50.559277610878894,59.6596265501609,0.7052851498473978,6.395072740464418,0.5948684410407787,6.080052961421194,4.322757204053641,27.660800611996674,634.5590207541915,93.80282816186973,43.625379284493036,700.6001182035875,51.15414605191967,65.7396795115821,1335.1591389577789,144.9569742137894,109.36505879607513,1589.4811719676434
Angola,14609.8,798.3544881648705,13.612755716098459,2.387998998481127,108.41972227414324,14.588961160295314,13.138564574107637,0.05822494161920596,0.9037972892036091,0.14001047596001978,1.2057361751129023,0.5475776533559665,4.928198880203699,798.3544881648705,14.21855831107363,8.219995167888435,108.41972227414324,14.728971636255334,14.344300749220539,906.7742104390137,28.947529947328967,22.564295917108975,958.2860363034516
Antigua and Barbuda,77.4,391.2078359882946,0.9517381369414658,0,827.9516946250168,87.80036476099782,74.82736510283539,0.48869692741466875,9.154387474707763,13.058587153773912,123.69493448089753,3.8759689922480622,34.883720930232556,391.2078359882946,5.316404056604196,44.03810840494032,827.9516946250168,100.85895191477174,198.52229958373292,1219.1595306133115,106.17535597137594,242.5604079886732,1567.8952945733606
Argentina,37060.0,1288.3483212448632,87.91189348337765,45.39641303772105,35.028240202300054,3.940310417582679,3.001869556997521,3.126122890554214,33.876497227546515,1.6581949555835083,17.71459287903254,13.248785752833244,73.50227300014357,1288.3483212448632,104.28680212676511,152.77518326541113,35.028240202300054,5.598505373166186,20.716462436030064,1323.3765614471633,109.8853074999313,173.4916457014412,1606.7535146485359
Armenia,3089.5,516.2885547789076,105.64765499834924,26.67534363596285,450.22499983210196,40.719648883549105,40.97846033813958,1.6295121293739145,19.433803708072464,1.127785793620836,17.78259800393898,27.28596860333387,190.9684082340299,516.2885547789076,134.56313573105703,237.07755557806522,450.22499983210196,41.847434677169936,58.761058342078556,966.5135546110096,176.41057040822693,295.83861392014376,1438.7627389393801
Australia,19320.0,1716.919803694228,172.04139895774583,80.88926395542697,136.33697861979735,12.031545784319382,10.103242656395208,4.591613772541966,10.375992442147236,9.442950799875621,104.19279825104098,18.21946169772257,39.46510242660392,1716.919803694228,194.85247442801037,130.73035882417813,136.33697861979735,21.474496584195006,114.2960409074362,1853.2567823140255,216.32697101220535,245.0263997316143,2314.610153057845
Austria,8057.299999999999,396.2693384293534,1.9816818281602688,52.422395555378266,738.1265465912641,64.18783743325456,81.01964189718204,5.059047659475857,8.020211498549147,18.29268307281519,190.47491795540594,9.184218038300672,32.4833183990205,396.2693384293534,16.2249475259368,92.92592545294792,738.1265465912641,82.48052050606974,271.494559852588,1134.3958850206175,98.70546803200654,364.42048530553586,1597.52183835816
Azerbaijan,8155.3,509.9603465995271,160.15566821944276,17.54347936544866,310.641377179047,25.14451320766367,9.092708170316518,10.102500979359775,132.12471137621333,0.8509271559313817,14.234845791030482,6.388483562836439,48.629408233995825,509.9603465995271,176.64665276163896,198.2975989756578,310.641377179047,25.99544036359505,23.327553961346997,820.6017237785742,202.64209312523403,221.6251529370048,1244.868969840813
