Country,Brand,SalesVolume_MillionUnits,AvgVolume_ml,WaterFootprint_Liters,TotalWaterUse_MillionLiters,country_avg_wf,water_score,country_score,market_score,sustainability_score,StartPrice,SimulatedPrice_End,SimulatedReturn_%
USA,Pepsi,120,330,2.5,300.0,2.5,0.6666666666666667,0.7333333333333335,0.4883720930232558,0.6476744186046514,16.823837209302326,15.547169486769302,-7.5884455291039155
USA,MUG,30,330,2.2,66.0,2.5,0.8666666666666666,0.7333333333333335,0.06976744186046512,0.673953488372093,11.696976744186045,13.069356464757961,11.732772925739576
USA,Slice,25,330,2.0,50.0,2.5,1.0,0.7333333333333335,0.046511627906976744,0.7426356589147287,12.271317829457365,10.390061398388603,-15.330516715595088
USA,AMP,20,250,3.0,60.0,2.5,0.33333333333333337,0.7333333333333335,0.023255813953488372,0.3713178294573644,12.705658914728682,26.992087992505812,112.44146544195348
USA,IZZE,15,250,2.8,42.0,2.5,0.4666666666666668,0.7333333333333335,0.0,0.44000000000000017,10.74,15.129445292949713,40.87006790455972
Russia,Pepsi,100,330,2.5,250.0,2.3000000000000003,0.6666666666666667,1.0,0.3953488372093023,0.6957364341085271,15.117868217054264,27.068842056750256,79.05197788544194
Russia,Mirinda,40,330,2.3,92.0,2.3000000000000003,0.8000000000000002,1.0,0.11627906976744186,0.7132558139534886,13.936627906976744,21.765230863601754,56.17286339908647
Russia,Fiesta,35,330,2.1,73.5,2.3000000000000003,0.9333333333333332,1.0,0.09302325581395349,0.7819379844961241,12.910968992248062,10.862655826485112,-15.864906553433656
Brazil,Gatorade,50,500,3.5,175.0,3.05,0.0,0.0,0.16279069767441862,0.03255813953488373,12.046279069767442,10.01914291720648,-16.827902963401097
Brazil,Lipton,45,330,2.6,117.0,3.05,0.5999999999999999,0.0,0.13953488372093023,0.35790697674418603,12.968953488372092,14.803927391659965,14.1489743558191
Japan,Tropicana,40,330,2.4,96.0,2.8,0.7333333333333334,0.3333333333333335,0.11627906976744186,0.5099224806201551,11.794961240310077,18.132036552078006,53.7269702091987
Japan,Starbucks,230,250,3.2,736.0,2.8,0.19999999999999984,0.3333333333333335,1.0,0.3933333333333333,21.226666666666667,14.490038448464004,-31.736627912386915
